cod_agencia;cod_ugl;desc_agencia;direccion_agencia;x;y;es_ugl
270.003;27;AGENCIA CIPOLETTI;BOULEVARD SARMIENTO ESTE 1045 ;-67,9872640000;-38,9395340000;0
270.004;27;AGENCIA VILLA REGINA;RIVADAVIA 87 ;-67,0833330000;-39,1000000000;0
270.050;27;AGENCIA SAN ANTONIO OESTE;BELGRANO 1580 ;-64,9460360000;-40,7300230000;0
270.051;27;AGENCIA EL BOLSON;SAN MARTIN 3433 ;-71,5166670000;-41,9666670000;0
270.052;27;AGENCIA CINCO SALTOS;AVDA SARMIENTO 346 ;-68,0695534700;-38,8270328200;0
270.053;27;AGENCIA CHOELE-CHOEL;DIAGONAL SAN MARTIN Y DIAGONAL SARMIENTO 1295 ;-65,6655050000;-39,2871800000;0
270.054;27;AGENCIA RIO COLORADO;ROCA 122 ;-64,0947600000;-38,9926050000;0
270.055;27;AGENCIA INGENIERO  JACOBACCI;SAN MARTIN 291 ;-69,6000000000;-41,3000000000;0
270.056;27;AGENCIA ALLEN;JUAN B. JUSTO  42 ;-67,8296400000;-38,9787280000;0
270.057;27;AGENCIACATRIEL;ROCA 497 ;-67,8500000000;-37,8666670000;0
270.058;27;AGENCIA INGENIERO HUERGO;SAN MARTIN 703 ;-67,2358630000;-39,0690460000;0
270.059;27;AGENCIA GENERAL CONESA;ROCA 627 ;-64,4166670000;-40,1000000000;0
270.060;27;AGENCIA SIERRA GRANDE;BELGRANO 99 ;-65,4000000000;-41,6166670000;0
270.061;27;AGENCIA VALCHETA;REMEDIOS DE ESCALADA 667 ;-66,1333330000;-40,6833330000;0
270.062;27;AGENCIA EL ALTO BARILOCHE;BROWN 1071 ;-71,2973460000;-41,1485910000;0
270.063;27;AGENCIA LOS MENUCOS;LA PAMPA 1144 ;-68,0889890000;-40,8478510000;0
270.064;27;AGENCIA CAMPO GRANDE;LUIS PASTEUR 124 ;-68,2148960000;-38,6801750000;0
270.065;27;AGENCIA GENERAL FERNANDEZ ORO;MARIANO MORENO 263 ;-67,9166670000;-38,9500000000;0
270.066;27;AGENCIA LAS GRUTAS;AV. CURRÚ LEUVÚ Y RUTA ACCE 2 00000 ;0,0000000000;0,0000000000;0
270.067;27;AGENCIA MAQUINCHAO;INDEPENDENCIA 786 ;0,0000000000;0,0000000000;0
270.068;27;AGENCIA CERVANTES;BELGRANO 452 ;0,0000000000;0,0000000000;0
280.000;28;UGL XXVIII - SANTA CRUZ;PERITO MORENO 467 ;-69,2333105800;-51,6199110000;1
280.001;28;AGENCIA CALETA OLIVIA;AV. EVA PERON 232 ;-67,5333330000;-46,4333330000;0
280.002;28;AGENCIA SAN JULIAN;AVDA PIEDRA BUENA 669 ;-67,7062340000;-49,3155500000;0
280.003;28;AGENCIA RIO TURBIO;PELLEGRINI 19 ;-72,3360590000;-51,5342170000;0
280.004;28;AGENCIA GOBERNADOR GREGORES;AVENIDA SAN MARTIN 409 ;-70,2666670000;-48,7666835000;0
280.050;28;AGENCIA PTO SANTA CRUZ;MARIANO MORENO 316 ;-69,2126685500;-51,6235137300;0
280.051;28;AGENCIA PUERTO DESEADO;BELGRANO 237 ;-65,8881070000;-47,7487310000;0
280.052;28;AGENCIA LAS HERAS;28 DE NOVIEMBRE Y EL CALAFATE S/N ;-68,9339880000;-46,5432180000;0
280.054;28;AGENCIA EL CALAFATE;AV. GRAL. PERON  1711 ;-72,2718930000;-50,3419820000;0
280.055;28;AGENCIA PERITO MORENO;AV. SAN MARTIN  1065 ;-70,9264290000;-46,5873000000;0
280.056;28;AGENCIA PICO TRUNCADO;SAAVEDRA  507 ;-67,9500000000;-46,8000000000;0
280.057;28;AGENCIA PIEDRA BUENA;SIMON BOLIVAR 381 ;-69,4833330000;-49,7333330000;0
280.058;28;AGENCIA 28 DE NOVIEMBRE;TENIENTE DEL CASTILLO 281 ;-72,3000000000;-51,6500000000;0
290.000;29;UGL XXIX - MORON;SAN MARTIN  444 ;-58,6219598600;-34,6537915700;1
290.003;29;AGENCIA HURLINGHAM;JUAN DIAZ DE SOLIS 1302 ;0,0000000000;0,0000000000;0
290.004;29;AGENCIA ITUZAINGO;LOS POZOS 126 ;0,0000000000;0,0000000000;0
