nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
C JYP AMERICO AVELIN;J.B.ALBERDI ;S/N;CHEPES;ROSARIO VERA;12;5470;25;2;LU A VI 9/12 Y 17/19 HS;11-mar-93;215;17-Jan-12;;17-nov-93;16-Dec-11;15-Dec-13
C JYP DE DESIDERIO TELLO;DIP. ABDON YALIS;S/N;DESIDERIO TELLO;ROSARIO VERA PEÑALOZA;12;5474;25;2;LUN. A VIE. 9/12-17/20 HS;14-jul-87;68;14-oct-11;;06-Dec-88;15-sep-11;14-sep-13
C JYP DE ULAPES;MARIANO MORENO;S/N;ULAPES;SAN MARTIN;12;5473;25;2;LUN. A VIE. 8 A 12 HS.;29-Aug-86;75;26-sep-11;;13-may-87;17-Apr-11;16-Apr-13
ASOCIACION DE JUBILADOS, PENSIONADOS Y CARENCIADOS EVA PERON;M BELGRANO Y LA PLATA;S/N;ULAPES;SAN MARTÍN;12;5473;25;2;;21-mar-93;69;13-sep-12;;03-Aug-04;24-Aug-12;23-Aug-14
C JYP DE VINCHINA;SAN MARTIN;S/N;VINCHINA;GENERAL  SARMIENTO;12;5357;25;2;LUN. A VIE. 8/13;04-feb-88;85;15-Dec-11;;05-oct-88;15-Dec-11;15-Dec-13
CLUB DE JUBILADOS FRESIA DE ASTORGA;PUBLICA;S/N;VILLA SAN JOSE DE VINCHINA;VINCHINA;12;5357;25;2;LUN. A VIE. 10 A 12 HS.;14-sep-03;44;14-mar-12;;21-Apr-10;28-Dec-11;28-Dec-13
"ASOC DE JUB. Y PENSIONADOS ""JOSE VICTOR LUNA""";PRESIDENTE PERÓN;470;CHAMICAL;CHAMICAL;12;5380;25;2;LU A VIE 8/12 17/20;19-sep-83;394;14-mar-12;;11-Apr-84;11-mar-11;10-mar-13
C JYP PADRE ROBERTO BERTON;ESTACION F.F.G.B;4010;PATQUIA;INDEPENDENCIA;12;5386;25;9;LUNES A VIERNES 18 A 20;07-mar-93;89;14-mar-07;;26-jul-96;10-oct-06;09-oct-08
CENTRO DE JYP SANTA ROSA DE LIMA;AVDA. FELIPE VARELA;S/N;PATQUIA;INDEPENDENCIA;12;5386;25;1;S/ DATO;20-Apr-10;41;27-sep-11;;03-sep-10;20-Apr-10;19-Apr-14
C JYP COPACABANA;AV. LOS CAUDILLOS;S/N;MALAZAN;GJF QUIROGA;12;5385;25;2;LU A VI 8 A 12 HS;21-feb-87;87;08-Aug-12;;11-oct-87;04-jun-12;03-jun-14
C JYP VIRGEN INDIA;SAN NICOLAS Y STA. RITA ;S/N;VILLA SANAGASTA;SANAGASTA;12;5300;25;2;LU A SA 8/13 HS;11-Apr-94;55;16-jul-12;;02-may-95;25-jun-12;24-jun-14
C JYP DEL DEPTO SAN BLAS - LOS SAUCES -;RUTA NACIONAL 40;S/N;SALICAS;SAN BLAS DE LOS SAUCES;12;5327;25;2;LUN. A VIE. 9 A 13 HS.;20-nov-86;215;03-Apr-13;;18-sep-87;20-feb-13;19-feb-15
C JYP VIRGEN DEL CARMEN;PUBLICA;S/Nº;PTA DE LLANOS;;12;5384;25;1;LUN. A VIE. 10 A 12 HS.;27-feb-93;42;27-sep-11;;18-sep-97;17-Aug-11;16-Aug-13
ASOC JYP DE TAMA;SAN MARTIN;S/N;TAMA;G A V PEÑALO;12;5385;25;2;LU A VI 10 A 12 HS;20-sep-85;70;27-sep-11;;13-may-86;18-jul-11;17-jul-13
C JYP CANDELARIA;LOAIZA;S/N;CANDELARIA;AYACUCHO;19;5713;26;2;LUN. A VIE. 8 A 12 HS.;04-nov-89;170;09-mar-09;;11-sep-90;14-Dec-11;14-Dec-14
C JYP NAC DE LUJAN;PRINGLES;S/N;LUJAN;AYACUCHO;19;5709;26;2;lu a vie 8 a 13 hs;20-nov-77;80;04-oct-12;;30-Apr-84;12-sep-12;12-sep-14
C JYP NAC DE QUINES SAN LUIS;SAN JOSE ;S/N;QUINES;AYACUCHO;19;5711;26;2;LU A VIE 8 A 12 HS ;04-may-85;180;26-jul-12;;28-oct-86;07-jul-12;07-jul-14
